"Stadtteil";"u_intervall_1";"u_intervall_2";"u_intervall_3";"u_intervall_4";"u_intervall_5";"o_intervall_1";"o_intervall_2";"o_intervall_3";"o_intervall_4";"o_intervall_5";"mean_1";"mean_2";"mean_3";"mean_4";"mean_5";"median_1";"median_2";"median_3";"median_4";"median_5"
"Gaisburg";1501,9656406728;2038,67502959015;813,036814825385;335,510029845671;228,79315651238;3154,05803208422;2783,52638426641;1395,19655217354;654,696069942017;520,8317471792;2384,53063242848;2465,25516422453;1049,17966473421;461,566869810178;346,467668802595;2408,21244269394;2487,17933139488;1033,84727741946;449,881727545117;336,734355352833
"Gänsheide";1141,18158535957;580,632266204275;147,740049930347;49,600879429669;28,0422083486095;1869,05757782776;1017,77388505702;330,86347111626;122,599049612234;83,0980073437151;1551,68275505293;779,767574516753;222,640867720063;80,1082662602727;50,8005364499824;1571,70176136781;772,471971519861;215,175494907363;77,487979040816;48,4215834125893
"Gehrenwald";765,109822230437;563,116667015005;155,842092385577;53,0251628740884;31,5740933739262;1515,43962484016;949,77166327441;375,637075414892;156,715942813396;113,007639051018;1191,31719866714;750,031196026551;247,118054218821;95,9537375347144;64,5798135527793;1212,31410936217;745,706373366496;239,980338050968;92,1043471755938;60,9718828635398
"Giebel";1114,90138520421;1066,19605815492;326,638297890537;116,975849653342;69,6647320775108;2441,811118619;1695,74344662331;736,079594447692;307,182794506303;218,182224641231;1839,66152766983;1407,4100825036;482,650789274154;186,762329353859;124,515271198559;1861,48840074873;1419,03280355209;463,086771912762;177,186318090061;117,394014579949
"Hafen";15,6481742977157;10,6331940493609;2,62432220115492;0,802212706094269;0,429234470732896;25,1851855831128;15,6797021914337;5,57568767265101;2,14515564909262;1,3891916134116;20,3797112980018;13,3382656956059;4,05622714836812;1,40211469803788;0,82368115998628;20,4293710769491;13,3622662892158;4,02712966571155;1,37839563411074;0,808645061391059
"Haigst";850,636351886104;196,669216235202;37,4927359690857;10,7112291562402;5,81763086301169;1144,85253333341;404,091260025487;97,339425584162;30,8839746917964;18,2303592943338;1028,23393659313;279,098954047443;60,538754333906;18,6433530714108;10,4850019541072;1039,74687491608;271,090233814498;57,9009506650825;17,5408148522205;9,84594244207779
"Hallschlag";1091,28876617795;1731,70826279513;682,695205687049;283,408242392754;196,536572636719;2516,09677576159;2295,63797237021;1189,37136771765;592,641783887341;492,30040159617;1810,63470885729;2066,36109386644;902,871676984627;410,862833630731;322,269686660909;1828,60981556647;2085,76391225436;887,696299227582;400,112248743922;312,93501864876
"Hasenberg";1291,61429797029;1059,53539426911;328,339524513528;111,36162684954;69,5856506760287;2145,98663241457;1525,80220946953;583,020433054605;232,768992200595;160,219706974889;1753,00522651366;1294,22276880356;434,77114738434;163,659128898839;106,341728399605;1773,11291269233;1290,29213986332;428,575668499422;158,852351616571;103,415193906386
"Hauptbahnhof";55,6531736342364;53,218721560388;18,2383321800057;6,76138988911483;4,35686452570712;83,3472313687284;68,1963188713648;27,4132867608958;11,5002955775621;8,49936711056339;69,9665744526791;60,5560566208313;22,3989076011885;8,95183588653144;6,12662543876958;70,1018497794904;60,4043058138845;22,2166347647002;8,87667369252939;6,02139555134676
"Hausen";596,550183950343;768,310045548885;237,984119730316;87,7487390592867;52,5359453010448;1188,29025001013;1001,346085428;448,140293670395;194,334055138901;143,889242493558;871,927057299131;906,285639288941;340,938769431201;138,747363180509;95,1011708002179;865,444341887261;917,778692639463;338,99661157829;137,467668870089;93,1302663215711
