"Stadtteil";"u_intervall_1";"u_intervall_2";"u_intervall_3";"u_intervall_4";"u_intervall_5";"o_intervall_1";"o_intervall_2";"o_intervall_3";"o_intervall_4";"o_intervall_5";"mean_1";"mean_2";"mean_3";"mean_4";"mean_5";"median_1";"median_2";"median_3";"median_4";"median_5"
"Freiberg";731,240737549705;1595,67213826147;617,724337262133;237,500430158514;156,630639221466;1523,33407523369;1820,01740119101;992,272458017243;476,156053610472;365,922585745416;1102,117406456;1718,83879259049;801,846953848977;346,26902937626;245,927817728274;1096,32871381449;1720,79502379477;797,487058415555;341,39123706341;240,336958405945
"Gablenberg";1893,6958031811;2494,66058083373;795,065703575535;278,110329916241;171,583319771305;3137,87796026486;2946,21450651781;1292,02155491347;538,327166904016;374,492511235109;2486,58092659419;2745,8289655051;1031,30326048278;401,142323326371;264,144524091551;2477,10437617485;2752,95970569866;1031,71255146431;394,99143389901;259,005852702811
"Gaisburg";1012,00515786134;2136,68276685814;900,771447127425;363,847208626102;244,839463136498;1825,33889245602;2400,01082793399;1288,17452291554;614,438603561416;468,659597462358;1417,61346965551;2273,96088495124;1084,90827393525;472,507227390416;339,010144067582;1410,77803395201;2276,48456273293;1081,50142848052;467,88027274007;334,805976492228
"Gänsheide";771,386829992806;656,432542585367;170,451003333374;56,0845107549886;33,4105953441373;1243,53193368858;888,324969886125;313,515520952794;119,659518322056;81,2452700034361;1001,53671910962;782,20529562646;237,310908922051;85,2652698110636;53,681806530806;1003,16218138684;786,252246647096;235,012828539448;84,077981394749;52,4650805124324
"Gehrenwald";473,222634197407;632,339219850378;171,825155244274;56,1830518643508;32,1170176257588;980,160511510398;805,423127925209;362,789070380524;153,082520761639;106,04777080624;716,61200644031;737,494874414334;264,904518361926;99,1945325727964;62,7940682106334;718,362461000157;743,543757322086;262,580314229513;96,959413749139;60,4597715126447
"Giebel";631,043183002269;1136,34538762501;377,977847796881;136,06126399486;82,3932432661454;1287,77050029703;1331,06307754173;659,446421379535;288,205604201115;212,410275293154;949,025739255589;1251,26300771305;509,103754154641;202,756170969929;135,851327906792;946,724466631161;1256,94316815476;505,593241638793;199,677679532888;132,09521535249
"Hafen";11,8259059347056;12,8665599330028;3,13392377210633;0,909187321555553;0,501876116691677;20,3642765333169;16,4942740045949;6,37939408774992;2,33959011781356;1,41699938886465;15,8463517248595;14,994743936508;4,69013384657647;1,56704570017937;0,901724791876651;15,6661354441325;15,1311277339331;4,71508373221108;1,55211750648791;0,895447867867726
"Haigst";572,556933957975;206,51146704348;37,7256757534351;10,3892629097031;5,61519226650061;788,93789556602;349,893744350512;85,6972570379262;27,3434744454158;15,5001624351737;694,534775418464;272,881972209194;57,6953185410536;17,3001253887199;9,58780844256839;698,239011660421;270,905294590961;56,7159689280217;16,7967451433056;9,24663261554274
"Hallschlag";686,655917596804;1684,2190011059;764,842564955972;310,635966782593;203,303096781309;1460,68038326606;1956,13699071433;1145,51246499775;579,979911023374;469,536560880357;1042,25038335474;1831,99475147493;949,02729770871;435,257770703796;323,469796757821;1032,78746736153;1837,99740363161;948,200449641709;431,033219399949;320,201937311077
"Hasenberg";886,727239048799;1076,8667869171;315,39463233681;104,952983155746;63,6250557642227;1372,63242540426;1273,18507045778;502,602071096223;195,160022815279;125,888501551839;1121,99375027237;1185,39329354484;406,155005546648;146,603257249014;90,8546933871323;1120,75997815166;1187,40171198191;403,283372393396;144,818157636522;89,6301711211923
