"Stadtteil";"u_intervall_1";"u_intervall_2";"u_intervall_3";"o_intervall_1";"o_intervall_2";"o_intervall_3";"mean_1";"mean_2";"mean_3";"median_1";"median_2";"median_3"
"Fasanenhof-Ost";14,3218038041187;7,33399779817088;9,97864894935457;21,382825948213;9,35637920861167;15,7625435467185;18,0969149739891;8,44185752597365;12,4612275000373;18,1662540787186;8,48524006482275;12,3254628946154
"Feuerbacher Tal";1497,25866618012;642,733720186096;852,319539365205;2394,26327632944;915,187887894357;1534,23948947853;1985,55651499498;795,402074528631;1118,04141047639;2013,10497219045;806,614788690073;1082,67247835265
"Feuerbach-Mitte";2157,86968877089;882,889815764583;1144,84263272377;3413,35652477046;1269,19087677681;2083,25889052468;2852,43310195107;1098,65361830104;1506,91327974789;2893,67639343962;1113,56794598592;1458,87595682975
"Feuerbach-Ost";151,86416510667;59,5435683376812;71,1323217714264;212,228303166345;78,809496625244;115,966743038416;184,326863864155;70,0013299826767;89,6718061531684;185,167131991729;70,4292500687464;88,3075472261083
"Feuersee";1812,82684810982;895,147838508933;1232,72849986461;2716,32719729547;1149,29841608559;1991,61221835278;2285,93614836211;1033,89220347708;1556,17164816081;2303,74800562197;1042,81309908669;1534,2973264677
"Flohberg";318,651644005406;147,557155144541;200,278099818498;537,477248337778;210,430638464831;371,536777981697;437,44199513064;183,226259085366;267,331745783993;444,598249695601;185,659117237523;258,892696972814
"Frauenkopf";207,410247005852;92,029578238757;123,146592699161;411,748139484496;149,497392521723;279,10993575998;318,463662309983;126,081669814235;183,454667875782;325,357913647285;128,613543887991;173,924504244756
"Freiberg";2093,84063447303;869,323692723692;1083,93162217154;3945,77378404871;1392,09009346002;2512,50396736241;3124,75626811856;1174,00445237292;1623,23927950851;3176,76258157128;1196,73958743262;1541,40086080791
"Gablenberg";3320,01319535582;1451,22654273711;1925,60039680044;5145,57887241823;2000,32972394716;3338,7804865204;4291,59161955291;1760,84878945902;2505,55959098808;4358,84304460849;1775,86064525435;2439,0133879134
"Gaisburg";2607,83278547167;1130,87081741279;1499,71976011649;4046,21793524979;1567,07299355974;2597,51940670513;3385,55804241819;1377,21052008821;1944,23143749361;3438,81211115974;1389,47698720017;1885,80539897119
"Gänsheide";943,779134535547;427,180076183735;583,418028230282;1662,18798841951;635,093148346655;1139,55190171793;1333,37177106617;548,483193357838;803,145035575995;1356,79600432929;557,453464803105;771,391582205899
"Gehrenwald";863,818576994813;381,751488664349;495,160950313355;1463,76927794241;553,655923664718;958,138843325362;1190,2090992136;480,563998802488;678,226901983911;1208,41311613304;487,831343506228;656,7979446212
"Giebel";1508,33244797818;617,3371041927;807,294195541972;2602,36753250779;945,44480190554;1663,54810716407;2120,45688990645;804,804840591916;1115,73826950164;2165,45295995213;813,968296113625;1062,02139541227
"Hafen";15,9047118606157;7,32220165938674;10,2237711610914;22,1856772885092;9,28932364019125;15,2307632768521;19,2019720869991;8,3547838448935;12,4432440681074;19,2533294178673;8,37745841377777;12,362494549923
"Haigst";465,47566443695;225,10585505177;317,058503108403;848,827202863339;331,167392907089;622,17025865686;672,185960831106;286,858765755648;437,955273413245;685,622186372685;292,050764462937;423,408939566263
"Hallschlag";2384,44371332979;896,857115869315;1080,45532201418;3520,65177053656;1259,99370897014;1922,81526873195;3005,32780695538;1095,38457473155;1412,28761831307;3025,3813031681;1103,91118333967;1376,50430763337
"Hasenberg";1294,50603585189;657,978857198778;948,632450161717;2128,99465387878;888,528979163619;1632,58262907839;1739,82420268193;788,247727740814;1223,92806957725;1763,2987759689;796,82956132017;1192,44884552161
"Hauptbahnhof";67,3174526543831;30,9446825591879;41,0256928319365;94,5729008423652;39,2446244225455;63,1676482256775;81,9501789069886;35,4058938880142;50,6439272049972;82,4945333798451;35,5040555767556;50,1068629439708
"Hausen";920,414302531838;439,164638763914;590,914730420862;1307,78044836009;553,192859773542;904,096903240221;1127,02638668078;500,149859321576;725,82375399764;1129,40795067858;501,736203467179;720,924332169717
"Hedelfingen";1611,01217372822;696,479648854979;910,961194485903;2639,18554054973;996,271616421772;1695,42404407701;2171,87735493102;867,78840515479;1218,33423991419;2200,2716215501;878,485389518673;1181,69588557776
"Heerstraße";1376,50734493352;688,179847595419;967,139497963593;2410,41665133266;966,759822043031;1791,46236674457;1935,60665830685;847,849991591828;1293,54335010132;1970,39995413315;857,680108335494;1245,38704367818
"Heilbronner Straße";687,672472881014;296,585735588626;376,213651315269;948,596015075328;377,63726250214;571,907042462844;829,997685362886;338,86029346235;457,142021174763;834,750796169997;339,571853766058;451,854752267995
"Heslach";3524,94253416075;1591,77649183335;2142,14778362417;5071,96905538271;2066,34557926421;3379,86224222507;4361,38819200255;1851,25444162706;2657,35736637039;4402,17387245343;1860,22838067869;2618,43345197421
"Heumaden";2610,35071362728;1171,25775720615;1571,00119617301;4925,39684511273;1819,56100699627;3380,54584090432;3861,20541062582;1551,62412462879;2265,17046474539;3932,65218685557;1579,50420147502;2165,83499133223
"Heusteigviertel";1225,86024631437;548,712040481414;711,504241796647;1737,18153888996;704,04968164909;1123,29866514618;1498,71266598289;632,408512948955;889,87882106816;1510,94565018513;633,785693449873;877,07552038817
"Hofen";1220,91459535039;544,28964664722;715,491814128848;2219,1397399288;824,402135131993;1478,01549276904;1767,90921680006;707,650057986237;1011,4407252137;1792,05118682212;719,415585091573;972,908095250043
"Hoffeld";725,335909949309;329,479038753892;440,994061676097;1502,71756856878;540,791453020683;1056,68653575574;1146,16818730473;456,429010191589;675,402802503685;1174,2549784563;468,627884588882;637,878285815778
