"";"Stadtteil";"u_intervall_1";"o_intervall_1";"mean_1";"median_1"
"76";"Luginsland";564,006711052293;1631,1970278606;1011,34528503761;976,643878743745
"77";"Möhringen-Mitte";1396,15801638068;3194,08435609872;2135,77306883631;2074,44589999398
"78";"Möhringen-Nord";700,939699959614;1698,23799926038;1089,79251394664;1045,00836150394
"79";"Möhringen-Ost";1077,2400427008;2951,6522340116;1764,92538278315;1667,25817072477
"80";"Möhringen-Süd";619,664830407433;1637,33953817978;992,4355826938;935,812029533167
"81";"Mönchfeld";447,908986662723;1457,5668801163;852,812410509618;794,238979867362
"82";"Mönchhalde";556,103708009467;1381,41712752922;893,273713604689;865,451491397579
"83";"Muckensturm";361,936387792165;1113,50538686891;649,286056839014;617,40819878679
"84";"Mühlhausen";585,011513446656;1446,80727499262;929,933248221314;887,660136021374
"85";"Münster";1029,95967338618;2586,16773635186;1601,93638620237;1522,87685676964
"86";"Neckarvorstadt";681,796685819158;1293,32221335781;933,238045656734;916,413700570146
"87";"Neue Vorstadt";282,417699157978;529,709375557705;392,552183915098;384,729097063574
"88";"Neugereut";1255,55237749593;3860,89490892702;2325,45229223638;2211,38694819873
"89";"Neuwirtshaus";100,916393013956;383,530698598706;206,909996013437;191,403316008214
"90";"Nordbahnhof";417,979603692446;806,791303387269;584,563632768914;575,130798860141
"91";"Oberer Schlossgarten";115,142218407477;238,659384365264;165,896594346966;160,410895690881
"92";"Obertürkheim";1211,31206020274;2511,09429972495;1747,38962310539;1706,33833833029
"93";"Österfeld";393,419078694073;870,515114829677;597,188268617677;582,828985637956
"94";"Ostheim";2382,26317338903;5581,27892317332;3591,8705039028;3443,28292636973
"95";"Pfaffenwald";549,401280651514;1208,81931232436;861,415808873798;848,390907070114
"96";"Plieningen";1389,20421047306;3225,93793800368;2111,12528683832;2041,51564380121
"97";"Pragstraße";65,1879119062894;132,35229698077;95,9432917370766;94,8922473785019
"98";"Rathaus";743,438685481031;1555,07704897682;1089,89954328613;1074,90772757413
"99";"Relenberg";1087,3224043667;2495,62970521881;1633,73560317846;1586,32240756291
"100";"Riedenberg";1140,30865541495;2748,46420908893;1756,22226339854;1677,70477091985
"101";"Rohr";1511,27349222851;4057,54104314993;2490,37011271789;2376,40969416557
"102";"Rohracker";599,664230078461;1523,29522558416;948,249155121613;907,192756543091
"103";"Rosenberg";2596,46999270843;4694,28803126933;3554,41992717806;3516,13179273497
"104";"Rosental";578,294327280236;1508,84343416644;954,314691173511;921,715871740078
"105";"Rot";1612,71394974463;4355,70265926717;2668,9520416898;2544,98808783866
"106";"Rotebühl";2562,51402113333;4901,45622172364;3609,27427015256;3567,46646279374
