"Stadtteil";"u_intervall_1";"o_intervall_1";"mean_1";"median_1"
"Mühlhausen";615,44036194404;1011,99325215388;777,642209441937;761,012584593051
"Münster";1182,81900282491;1651,34023091331;1392,49269702646;1383,04014763812
"Neckarvorstadt";709,270287732258;1009,85982039737;856,551109450684;855,866188108532
"Neue Vorstadt";362,235209012864;485,433153580019;416,749450850216;413,461172552263
"Neugereut";1325,55824368001;2148,12930932296;1662,9650924407;1640,74903512627
"Neuwirtshaus";113,141348687505;185,257601931189;146,580733421891;145,988571186451
"Nordbahnhof";413,855450343484;548,066907183258;475,621573920011;474,041721253833
"Oberer Schlossgarten";101,37187049439;135,8892905855;116,092035981327;115,071776618782
"Obertürkheim";1082,53461028487;1573,83024246741;1300,74959535999;1287,98574178155
"Österfeld";385,221539008071;521,838539731778;450,204846913921;449,876379403029
"Ostheim";2926,12281157688;4023,8793082944;3441,8016242052;3426,5030798879
"Pfaffenwald";770,768613640629;1243,40665316044;1020,43587640976;1022,23008697042
"Plieningen";1533,56267337808;2448,18599776418;2006,4318934516;2002,72821547062
"Pragstraße";62,8464230187196;88,9542694594258;75,9322944727845;75,9944884876876
"Rathaus";950,200888497455;1247,45011643455;1081,21221485617;1073,89686717502
"Relenberg";1387,34446555994;1825,30279783329;1568,27022052219;1552,89689786365
"Riedenberg";1263,09286576257;1717,31505428702;1468,17871136276;1460,1434714034
"Rohr";1743,85110882821;2657,23786520655;2143,31361125767;2128,84370483962
"Rohracker";692,836998715931;969,141090148922;818,728047942113;813,974017755681
"Rosenberg";2581,21333431274;3448,86425024178;2954,87938334331;2933,67053661167
"Rosental";771,662094801154;1131,55295947817;936,246113550771;932,874922548672
"Rot";1787,579806702;2621,46761466097;2138,70423604739;2115,74540088291
"Rotebühl";3094,94612481492;4068,70757537946;3535,7933581196;3516,69472883731
"Rotenberg";161,159220178128;233,177802119683;192,079419646441;189,944727421144
"Schmidener Vorstadt";1136,15422144888;1577,03760435981;1338,94045501988;1330,32806161324
"Schönberg";338,544338815331;454,758048260656;390,385903810251;388,955633607441
"Seelberg";1570,70167796021;2211,17442695114;1874,72131536093;1866,36739147834
"Siegelberg";110,445388715413;165,443067491467;133,844767974546;132,54157364915
"Sillenbuch";1643,59033411504;2248,75824551708;1920,47952129814;1911,05541177797
"Solitude";12,7013763272315;20,9556617599979;17,0254129566079;17,1908620692683
"Sommerrain";593,914733593806;897,71449122823;720,716084281479;712,283297639279
"Sonnenberg";843,73518725574;1130,96305296615;969,122267276632;964,891896099356
"Stammheim-Mitte";1111,33169619839;1843,97004818572;1456,92855963727;1460,42379340849
"Stammheim-Süd";804,42640331643;1366,81509282399;1056,89927626078;1052,3421186578
"Steckfeld";490,452545809345;684,325000796167;587,334401392791;587,425988427409
"Steinhaldenfeld";632,191442129915;963,563741506787;771,151510191404;759,959747039038
"Sternhäule";51,9803476369873;70,6912797668988;61,4132927744973;61,1664939178801
"Stöckach";1054,15464668428;1430,59677901014;1227,6238759351;1223,35207650849
"Südheim";1303,68319262658;1727,03606590276;1491,60877022073;1486,19196817801
"Tränke";58,5851956147915;80,7624206996654;68,4475170759464;68,2808904702041
"Uhlandshöhe";579,525264393869;781,538589120467;670,289422982293;665,63682158516
"Uhlbach";608,843739785273;922,959261385621;737,74716469936;728,719213295543
"Universität";161,733891642998;219,828179529636;186,573112613883;184,988028517313
