"Stadtteil";"u_intervall_1";"u_intervall_2";"u_intervall_3";"o_intervall_1";"o_intervall_2";"o_intervall_3";"mean_1";"mean_2";"mean_3";"median_1";"median_2";"median_3"
"Hallschlag";2167,63245826247;846,782786370228;989,20495203459;2725,07528565073;1040,84410667598;1408,92366614409;2437,25147484668;946,361719732441;1198,38680542088;2436,11720211604;948,301452864595;1199,93095484259
"Hasenberg";1097,20225454615;604,047763395749;889,215531805013;1428,85977276129;705,274383411289;1192,00867918338;1265,24201285488;656,83260393543;1028,92538320969;1268,5630791513;657,165236864664;1023,87528317788
"Hauptbahnhof";62,259543502104;31,4436760705061;43,5200255824194;77,080955055532;36,448308950028;56,1054653423402;69,9544290453106;33,9036639960387;49,1419069586507;70,235933663952;33,9154479976754;48,9458213493964
"Hausen";921,708791520153;408,002816041291;460,317678420639;1292,1001470795;509,914743445186;758,545112492521;1093,67078377987;462,037775413728;615,291440806405;1091,7892601872;462,797822098654;616,45572317951
"Hedelfingen";1424,94091566745;664,092402665835;847,561340376656;1905,10432193905;804,761857508848;1225,97255774613;1661,9799712971;736,055946206543;1024,96408249636;1668,10196530116;736,928355795289;1019,55253017457
"Heerstraße";1175,695782871;646,496151428899;914,07005607378;1610,45932609297;761,894772677617;1303,85848394114;1396,29282596113;708,386742255253;1092,32043178362;1399,59726648379;709,925199599437;1086,47531089307
"Heilbronner Straße";684,387316661207;321,043202931823;426,778447133047;852,367158040936;379,923006901973;561,241044236884;775,746055827066;350,59876474208;486,655179430855;777,595104567314;350,894570521521;485,581888377914
"Heslach";3050,83883496997;1567,61065980479;2273,36814239376;3871,21605027716;1839,71716100691;2961,20078056902;3480,54485168091;1709,6861213173;2591,76902700179;3488,99884717083;1709,65885222499;2585,40205187635
"Heumaden";2116,8117989801;1056,7818133583;1408,07034196933;2928,36759437634;1286,61683974797;2057,38790372181;2525,7647047643;1180,82531812733;1711,40997710837;2530,41959148263;1184,4603848144;1702,63586331436
"Heusteigviertel";1070,68279714031;534,455659070666;759,883669806273;1333,12261182412;625,918124146652;979,174260792154;1205,49917611281;582,02084605859;860,479977828595;1205,17369638111;582,123226755161;858,62835812215
"Hofen";1113,22443545938;515,748033910955;658,091691450461;1512,14542467977;632,068307713447;972,844220621069;1319,28808605566;577,655382108244;800,056531836092;1322,76020695549;579,829277573882;794,127278971225
"Hoffeld";564,87604575214;293,283474568559;416,424496428694;780,603733694407;355,679961401753;587,079840483855;671,87161796054;328,126243927599;493,002138111861;672,891825970454;329,209582627458;490,582146240472
"Hohenheim";215,956520722921;104,500967700285;121,36432092934;293,901995652129;124,130740140976;187,911565033307;256,046356662899;114,898897796023;152,054745541078;256,100285895935;115,121803102276;150,799662523699
"Höhenrand";569,102413636806;314,510019308384;454,194499534817;764,634956305085;369,323024886769;619,944611027967;667,237155562715;343,673842115065;532,08900232222;668,61495486081;344,275768692302;529,369055554964
"Hohe Warte";1064,47146777711;510,064649969082;681,094731453757;1437,14124707393;625,032773638534;975,20514801175;1254,76451477723;571,925245917126;812,310239305644;1257,99966502215;574,106148257841;806,190803976697
"Hölderlinplatz";1242,74928976206;687,266900862389;1006,02126609816;1662,80370751809;805,930677360311;1372,16418934186;1464,92543616495;749,112973651049;1169,961590184;1472,48176367948;750,090003347594;1162,33666240653
"Im Geiger";1163,59824740083;533,014408483057;681,599565883796;1514,75669079555;643,239610746938;965,610572803795;1335,84083014524;590,945334222158;816,213835632602;1334,87175566959;593,130075914021;813,865939659473
"Kaltental";1465,26033727701;776,803825616209;1108,41859799925;1944,74203775121;916,583906086625;1511,65514165334;1700,26369657265;851,492996853778;1297,24330657357;1702,08926521149;853,167405017515;1290,29813621004
"Karlshöhe";1561,34135995358;780,231937862587;1112,98065559847;1961,43780600489;918,005060668259;1443,77569991968;1770,60634764223;852,13271499615;1264,26093736162;1773,61327124454;851,854397125129;1261,2367803328
"Kernerviertel";1697,06013766613;817,14998946121;1117,41804809647;2072,88336703887;953,735745033729;1427,09741966212;1889,12636549724;886,163265288161;1258,7103692146;1890,32108771206;886,60085743178;1258,35273184938
"Killesberg";340,107078412052;171,580743220145;237,577556767591;457,049762050805;207,556109168411;332,064752085172;401,11912907967;190,79758153713;279,083289383201;400,995256330691;191,137414488611;277,397181654681
"Kräherwald";1414,30048661384;788,861811194322;1142,96511218637;1922,13934998382;932,637484261506;1588,28263969895;1679,72449429332;863,126891943556;1348,14861376312;1681,03716649698;864,647539136487;1338,01619834001
"Kurpark";1615,45245826942;692,547410658691;852,715253100687;2027,94494472253;831,491709953001;1179,30708425865;1815,51413507617;764,082218944413;1020,40364597942;1814,01321414973;765,909286306629;1020,88541749063
"Lauchäcker";708,319274539488;376,587147187975;508,55493285728;993,011105679252;448,619927650169;747,460114480488;850,512769623473;415,689149184777;622,79808119175;847,767949137211;416,058781801532;620,662390705041
"Lederberg";156,133044807174;76,6997847794774;99,9948795300066;221,486969276659;95,1547777876921;150,918403672274;188,478318414547;86,8161364961135;123,70554508934;189,021371755973;87,1090472577135;122,796874203619
"Lehen";3084,16808991673;1624,89172987207;2404,30851923181;3868,18776476962;1891,38729740317;3076,65255035723;3495,34368744085;1764,21766347957;2707,43864907958;3499,44155525552;1763,59801483937;2704,09592901703
"Lemberg/Föhrich";1989,51704932594;915,795351016691;1206,54145246358;2566,61384335862;1107,39234538969;1665,35465779386;2290,72103921321;1016,20458344631;1417,07437734049;2290,27468389249;1019,38924191327;1407,49023763926
"Lenzhalde";617,499435855756;337,358296913966;490,750215216157;846,098192160597;402,973275287586;682,568615933231;738,166713169943;372,029476714829;576,803810115228;739,20824084156;372,896037222383;572,96837046986
"Lindenschulviertel";325,59703262578;137,447310947576;168,609992311544;404,15218671848;163,62224900719;225,729069958862;365,696736576708;150,810188087457;195,493075335836;365,994029325312;150,817335936393;194,556291228125
