"Stadtteil";"u_intervall_1";"o_intervall_1";"mean_1";"median_1"
"Mühlhausen";663,172398898035;947,96600160395;796,987810511659;791,571493009922
"Münster";1112,01742348254;1663,02515877968;1372,71896437201;1371,68071024933
"Neckarvorstadt";740,998749602287;1015,75770969801;869,733036016177;866,092826893193
"Neue Vorstadt";333,927884949969;450,452310074797;388,763777935523;388,773505918558
"Neugereut";1376,49339016279;2124,04792168536;1720,67195116366;1708,13472163003
"Neuwirtshaus";135,657955317114;198,5844505688;162,629005317528;161,250871643733
"Nordbahnhof";415,467345109629;553,827634155077;485,703362901996;483,188050711267
"Oberer Schlossgarten";96,7609191559628;133,387892607454;113,365219853506;112,72926154666
"Obertürkheim";1087,71880054243;1603,06912353632;1312,40332144756;1300,78763669176
"Österfeld";384,601164905361;519,271648089594;446,638109598494;444,760932890782
"Ostheim";3145,43844554733;4146,3356999866;3582,15043172817;3554,31801288507
"Pfaffenwald";854,914014170445;1275,17602470243;1061,95826913134;1057,81511779912
"Plieningen";1632,21497956151;2344,82971785738;1975,22054033038;1971,53434066397
"Pragstraße";64,118680293791;87,8810580298837;75,606138362056;75,410959045136
"Rathaus";878,124032164631;1193,4603657235;1025,24920464523;1025,78052362543
"Relenberg";1261,59024748158;1681,78984114054;1466,33025024998;1460,1134128991
"Riedenberg";1272,59040308026;1725,06800456087;1475,46648315698;1467,11272248391
"Rohr";1773,04467537402;2458,50400608267;2081,4339431411;2072,42611863889
"Rohracker";689,066958849748;954,494915983828;810,981027501259;806,179771204839
"Rosenberg";2653,08558524019;3417,33180815676;2984,53601108959;2970,23988107539
"Rosental";786,890086793004;1085,3632589465;918,763914453804;915,297124352626
"Rot";1866,21589957589;2676,19139669724;2205,79536455726;2185,97377279126
"Rotebühl";3125,63974077915;4033,1764194365;3531,28248018467;3513,79459706913
"Rotenberg";166,275511703824;227,77826252863;193,377701396613;191,951526855912
"Schmidener Vorstadt";1167,34473812454;1592,91829293483;1361,19199103384;1356,5634797052
"Schönberg";336,888767896595;466,306411525492;395,712230491811;394,466075096547
"Seelberg";1631,69140667671;2209,58588463281;1892,64230651269;1886,09496595737
"Siegelberg";116,827541816693;171,311189013957;140,370937279997;139,134854750621
"Sillenbuch";1679,575149656;2297,70470420696;1946,55948899324;1938,60257351102
"Solitude";17,3477907069541;23,1254953807005;20,0247560552134;19,9465457437904
