"Stadtteil";"u_intervall_1";"o_intervall_1";"mean_1";"median_1"
"Mönchhalde";660,409507389625;1200,39206120969;845,024629934475;814,42310479423
"Muckensturm";529,640403939142;1049,63828472939;698,525133791445;667,328818293484
"Mühlhausen";657,894906782366;1318,05677244646;898,4551710919;868,242314216061
"Münster";1293,92825027466;2443,29677273828;1662,39501878349;1596,04067660367
"Neckarvorstadt";764,302760566348;1244,08388644974;958,573675950026;941,482959892171
"Neue Vorstadt";320,493441327941;495,055416887618;393,276861590628;386,706572158459
"Neugereut";1468,58412301115;3229,00779076417;2072,5037158126;1979,79063252273
"Neuwirtshaus";129,795746812104;316,500534855489;193,058002310593;179,373025238453
"Nordbahnhof";473,985007623131;738,302167358505;573,996658842727;562,791982305813
"Oberer Schlossgarten";131,036539213212;218,44770890913;163,555644771507;159,881044927865
"Obertürkheim";1148,04852996646;2027,9496309836;1465,87435591243;1425,14472769849
"Österfeld";404,482224059477;735,788575539976;522,523998042574;504,846578614063
"Ostheim";3109,22399356221;5312,33997911233;3901,19438911847;3770,94821336188
"Pfaffenwald";690,264710727486;1261,28965429388;954,690698946776;943,461493502638
"Plieningen";1636,8732805898;3138,17227393654;2253,52651335533;2197,05327706409
"Pragstraße";76,5478576859208;119,444540851936;94,6580284859887;93,5315089224524
"Rathaus";961,016145757633;1500,00561713474;1183,23349303218;1164,48536845806
"Relenberg";1377,01072995422;2319,59589812737;1712,36398435625;1663,21821703966
"Riedenberg";1315,01800803063;2436,9124986316;1710,70372014551;1652,53105847036
"Rohr";1907,17664556465;3822,84184721849;2580,51240948252;2475,97016893557
"Rohracker";735,170084858823;1382,3669862523;959,944969192784;923,996998104955
"Rosenberg";2459,46594582089;3923,88701609645;3053,51680961984;3003,42044778317
"Rosental";832,065469389345;1540,88169939637;1090,80342768076;1058,77314623068
"Rot";1901,6625264136;3793,25137915442;2499,2148914206;2389,07792324425
"Rotebühl";3102,09514581026;4810,36143897833;3804,12007479853;3747,47138929667
"Rotenberg";168,26921332678;315,109168520321;220,808169311388;212,700839555843
"Schmidener Vorstadt";1242,13214171908;2132,83011585141;1552,25846917625;1507,94565605933
"Schönberg";344,638169486813;626,886253820574;442,483461029609;427,45658963953
"Seelberg";1662,07201560346;2830,59998400736;2097,02485697439;2041,90925492815
"Siegelberg";123,812824718688;232,972992021959;162,225980110916;156,513327475458
"Sillenbuch";1737,41453403978;3369,76890183012;2312,35282716259;2217,63389581574
"Solitude";13,9449372659476;25,147548747226;19,2780221591452;19,1769026041243
"Sommerrain";644,341972522603;1365,45914647997;877,437516289711;835,607933250118
"Sonnenberg";876,418633865452;1666,45322794727;1150,75867077141;1110,23792130136
"Stammheim-Mitte";1215,66428694917;2503,27817495214;1712,86568358702;1655,52583862046
"Stammheim-Süd";899,418838809323;1849,26526651223;1257,12494291576;1206,81914022011
"Steckfeld";504,968501635963;837,919696948716;634,058935670117;619,768792817943
"Steinhaldenfeld";701,732888097589;1453,47810955805;945,439851425717;905,995624381626
"Sternhäule";25,2293927004846;37,9344406371135;30,4403124154988;29,9525550398731
"Stöckach";1108,60584414891;1755,90098562221;1363,52304952745;1334,92651183005
"Südheim";1402,83694865255;2291,25024556204;1736,81943331779;1699,4223797471
"Tränke";53,3158541946522;96,5234871912224;69,1691792465887;67,5231908312271
"Uhlandshöhe";621,883526806407;1032,64946233925;775,095801752838;754,440466518175
"Uhlbach";651,71562081959;1307,7192672832;873,379432117361;837,740735685485
"Universität";152,134284732134;238,994130744448;188,835471734148;186,219251757721
"Untertürkheim";1520,22127040632;2706,42721178207;1940,39880115347;1877,73577012187
"Vaihingen-Mitte";1507,77392795767;2610,74658759931;1916,47170711629;1870,39650341242
"Veielbrunnen";418,077183997209;681,821082863501;528,391815069886;519,758528286553
"Vogelsang";2569,39349543163;3941,80183967525;3146,34032931115;3102,7377653616
"Waldau";727,566884136067;1316,32309993596;933,586466529906;909,394879885784
"Wallgraben-Ost";85,037803237582;150,228806163483;108,810015915089;105,644683765958
"Wallgraben-West";117,111115809744;211,300125469428;152,484068899119;148,637139068737
"Wangen";1781,3640018168;3254,99486643242;2304,94605288756;2225,74382362413
"Wasen";39,8751051736984;66,3603340997492;51,9968044987968;51,7703016695987
"Weilimdorf";3276,0237956509;6565,78701674625;4464,02562915221;4301,34534925209
"Weilimdorf-Nord";74,147253910808;135,530932246946;103,249157375291;102,711016066053
"Weinsteige";542,140253032667;1035,8743050373;713,463586179371;689,518774701703
"Weißenhof";580,193783243948;1127,72972000818;758,219690214647;723,657309256724
