"";"Stadtteil";"u_intervall_1";"o_intervall_1";"mean_1";"median_1"
"77";"Möhringen-Nord";720,033970897296;1167,54710361581;923,325819324569;916,487116981014
"78";"Möhringen-Ost";1008,65925195681;1877,65223331216;1420,66392588834;1417,5042071336
"79";"Möhringen-Süd";592,612367621129;1047,31635276865;792,551048050643;787,332878186882
"80";"Mönchfeld";428,316718808337;998,39675253734;683,049867027746;675,833013220306
"81";"Mönchhalde";532,93323775808;969,888036720811;733,949842095163;729,28088969429
"82";"Muckensturm";372,686396232198;785,769829113385;560,002895191428;556,816752902382
"83";"Mühlhausen";577,326502356782;1085,50784008957;803,510318662046;793,174022675119
"84";"Münster";988,477265148194;1676,388497455;1331,33859374601;1324,07335779505
"85";"Neckarvorstadt";670,107644903545;1045,34444390981;847,711733371882;845,715311487406
"86";"Neue Vorstadt";336,126754899636;521,741444157481;424,341773855817;421,980838948945
"87";"Neugereut";1165,49982129342;2645,34649900648;1837,19846464547;1819,22891643857
"88";"Neuwirtshaus";90,6427337292072;219,396203480986;149,550140982973;146,539809802291
"89";"Nordbahnhof";389,321053757818;600,157773279863;492,855027302199;491,253034050499
"90";"Oberer Schlossgarten";91,998059828635;148,441377113832;118,384650710648;117,530718883767
"91";"Obertürkheim";1200,78199278496;1982,49284290703;1561,21844334369;1552,98089322112
"92";"Österfeld";386,729351318371;618,924300646729;500,146031896405;500,438342737795
"93";"Ostheim";2307,53267643609;4062,57542713134;3152,26961758938;3119,84669490151
"94";"Pfaffenwald";725,228633133813;1334,6489731555;1013,33331752253;1006,76952958128
"95";"Plieningen";1366,50442440242;2428,89800023303;1866,36475159342;1858,07263800333
"96";"Pragstraße";55,7054547855144;101,587274007527;76,5139300573675;75,8354672509204
"97";"Rathaus";740,013121347137;1298,74593101446;1003,50214164723;998,315047144415
"98";"Relenberg";1139,6118735705;1903,65878473631;1501,37565235336;1497,07939010967
"99";"Riedenberg";1122,86196031442;1898,8872383627;1484,48347387331;1470,44527594653
"100";"Rohr";1466,43506100736;2661,17549702876;2022,78321590183;2016,76127067793
"101";"Rohracker";596,615803528309;1062,73483256203;800,443140752505;792,473695913914
"102";"Rosenberg";2829,00427689545;4190,58137535263;3470,6572101697;3464,41935230258
"103";"Rosental";554,875997430376;1092,16536332512;812,952662198412;808,747920399441
"104";"Rot";1578,142828307;3017,40054989165;2252,62172754191;2229,47529513881
"105";"Rotebühl";2590,71435249022;4173,63750709935;3399,52441614867;3394,54962504803
"106";"Rotenberg";151,185408963649;283,27100785065;214,785168491766;211,714209895142
"107";"Schmidener Vorstadt";922,589050947632;1641,34113637848;1260,33563528371;1256,15000336203
"108";"Schönberg";283,30733759532;513,894805119888;395,295410831861;393,036678914995
"109";"Seelberg";1100,86951219031;2350,40628911896;1666,49428049385;1647,09456218157
"110";"Siegelberg";105,261616775613;212,768988533622;152,223048710087;149,974365460203
"111";"Sillenbuch";1547,08350218065;2652,64810232646;2078,55972291974;2063,59654790039
"112";"Solitude";12,3044520054811;21,007236028434;16,3695607622116;16,2546139384844
"113";"Sommerrain";499,972362987087;1093,93000339944;777,639339066959;770,719593363894
"114";"Sonnenberg";847,114431238786;1457,23097323933;1143,52515996877;1134,35420545959
"115";"Stammheim-Mitte";819,926354594879;1731,40580382908;1235,20417244565;1225,28279132753
"116";"Stammheim-Süd";610,782092072591;1378,51102109241;949,315903255027;931,775513698336
"117";"Steckfeld";479,299205597989;888,228172243279;677,268748809328;674,884960674454
"118";"Steinhaldenfeld";313,263689956792;898,122564508483;566,314467942018;553,662062645948
"119";"Sternhäule";49,3744466540986;76,3334493242115;61,7813306177922;61,5050242830027
"120";"Stöckach";941,325946386542;1578,94912641063;1231,00696717197;1224,85428359751
"121";"Südheim";1126,08336138241;1854,54636953518;1470,85835159793;1463,0831858309
"122";"Tränke";53,7544452423709;87,9940016964517;69,1854052009239;68,4942092698023
"123";"Uhlandshöhe";504,476949973452;893,814324256423;687,055741546193;677,311062413967
"124";"Uhlbach";387,735263912186;809,475577843344;580,097577211233;574,289741144562
"125";"Universität";160,858761317152;261,513393271781;207,949323732054;206,278785712017
"126";"Untertürkheim";1174,62233574269;2054,99485698369;1575,08768911995;1561,24292287891
"127";"Vaihingen-Mitte";1732,29774179072;2877,7874911821;2299,41627269191;2300,36555151861
"128";"Veielbrunnen";289,05464444981;531,464203097712;402,415808059833;400,098021226974
"129";"Vogelsang";2676,32284419969;4115,37369603802;3369,57843985442;3349,46133660069
"130";"Waldau";552,429931088751;1009,36050936564;770,398051439025;768,94429302896
"131";"Wallgraben-Ost";81,9221478506084;132,988166531177;106,309166680832;105,996537047946
"132";"Wallgraben-West";97,1509245475385;156,26725792061;124,885427434491;124,825751591181
"133";"Wangen";1320,3024661024;2431,39298296455;1831,98240239535;1812,25585356492
"134";"Wasen";8,28135513251692;14,3150958300609;11,0211844435653;10,8609789855913
"135";"Weilimdorf";2661,7196130018;4871,59964054436;3619,58631131405;3580,3907968911
"136";"Weilimdorf-Nord";61,4221694040514;162,536263351864;108,254003926019;106,230262495444
"137";"Weinsteige";498,986286503833;862,698022167337;666,43914026116;661,05447740719
"138";"Weißenhof";466,817207897175;855,851531166519;654,596059456436;651,487303185941
"139";"Wildpark";1,68708929624202;3,02952223063085;2,23912326806983;2,21048806041413
"140";"Winterhalde";553,442634733782;1094,54257203856;806,668262758485;800,718194310449
"141";"Wolfbusch";470,996407735592;948,831939004325;685,792215463031;674,405056954715
"142";"Zazenhausen";341,272641272736;611,879386613043;469,192818424412;466,964993159184
"143";"Zuffenhausen-Am Stadtpark";558,240804583769;931,82487142164;727,428766958325;721,541468629358
"144";"Zuffenhausen-Elbelen";81,4557091349802;163,461378519293;119,221894487543;117,710414878576
"145";"Zuffenhausen-Frauensteg";241,590307730496;429,039889588463;330,683679965211;327,6393865854
"146";"Zuffenhausen-Hohenstein";604,854689884231;1108,08106756197;825,084679603164;812,625349219759
"147";"Zuffenhausen-Im Raiser";143,115737485193;280,054308043627;204,008754890076;202,350325480805
"148";"Zuffenhausen-Mitte";1083,67651769465;2022,35894986164;1520,56946976807;1521,48621089789
"149";"Zuffenhausen-Mönchsberg";831,433331832656;1463,63865480316;1107,5131431099;1093,53993944986
"150";"Zuffenhausen-Schützenbühl";196,127530798699;437,82807787772;303,87891478644;300,309143399491
