"Stadtteil";"u_intervall_1";"o_intervall_1";"mean_1";"median_1"
"Mönchhalde";631,847575191825;1177,47997027578;821,011448582349;790,868283980433
"Muckensturm";534,039719229084;1035,92137082097;704,026637374643;671,784359878524
"Mühlhausen";707,114794140233;1302,51488995778;921,398903919054;890,92231998437
"Münster";1223,01551779113;2406,71819874778;1641,2165451697;1589,18773732012
"Neckarvorstadt";791,764439181075;1261,87305410305;971,99634503818;955,957983008738
"Neue Vorstadt";292,904648109415;464,783647671672;366,425004541684;362,053985459125
"Neugereut";1544,23563936806;3288,02370225465;2146,55861961912;2060,03560999709
"Neuwirtshaus";151,495666670072;354,135750691054;214,100962472738;199,720740135453
"Nordbahnhof";474,690411551286;744,412781605787;584,567314141143;575,478222564129
"Oberer Schlossgarten";125,997264828979;214,033022141118;159,678950856449;155,816902539953
"Obertürkheim";1147,08952320292;2028,50974191528;1479,28962548935;1439,71925914282
"Österfeld";403,618098522267;736,326147939361;519,214201815169;503,439293368086
"Ostheim";3249,18529257118;5479,43912658723;4057,15655328063;3939,11009690417
"Pfaffenwald";744,70119755236;1271,67948274183;987,047194823287;977,475621519068
"Plieningen";1710,20904676416;3058,48939130103;2220,51046202633;2169,83383282566
"Pragstraße";76,8901887221122;119,413151824367;94,1308546392268;93,0852482514616
"Rathaus";888,795984211268;1431,72416384467;1118,92864412901;1105,3396109584
"Relenberg";1272,14908802425;2185,45958587303;1602,18322827784;1554,88298719779
"Riedenberg";1339,18488779951;2464,19345769753;1720,90692651146;1657,24858708262
"Rohr";1913,03323337619;3703,16520424387;2511,14156188181;2420,26261283293
"Rohracker";727,701752236799;1377,02170814304;952,548604934732;916,292202799577
"Rosenberg";2508,25849664191;3922,30339781167;3078,42109275865;3022,5641797579
"Rosental";846,300446798032;1498,18417488423;1071,82110588335;1042,09588300282
"Rot";1959,6682015688;3880,88031940336;2579,77902048088;2461,70178525307
"Rotebühl";3123,15969709358;4731,65865310355;3791,01250048706;3732,52245174624
"Rotenberg";172,180923088885;312,773856488748;222,47926480687;213,923754505589
"Schmidener Vorstadt";1271,13224509252;2129,05534596518;1578,24852255694;1538,10555437833
"Schönberg";345,796994349426;637,009300198592;448,887285950682;436,004063815841
"Seelberg";1712,40723120834;2837,12902591368;2115,9310135151;2063,34156334152
"Siegelberg";131,177386666188;244,630138628358;169,968230896777;164,91604017301
"Sillenbuch";1792,53848845385;3420,91411467998;2345,60116105694;2249,04099426051
"Solitude";18,3617238176022;28,3421183645308;22,5339649531801;22,2490752812981
"Sommerrain";648,12009004648;1332,28612113962;873,255930834437;828,16353473144
