"Stadtteil";"u_intervall_1";"u_intervall_2";"u_intervall_3";"o_intervall_1";"o_intervall_2";"o_intervall_3";"mean_1";"mean_2";"mean_3";"median_1";"median_2";"median_3"
"Kernerviertel";1687,65816059255;817,984432862495;1105,27774587881;2087,14528280119;953,986052857612;1426,85053638331;1882,3740971552;886,78054235325;1264,84536049155;1886,92190872118;887,15721469647;1264,5246802627
"Killesberg";350,016300617241;171,329669531495;231,149111683722;463,363290626844;207,050922904422;322,110055136901;407,531441734714;190,051459320193;273,417098945093;407,351925877858;190,363394353559;272,440480201139
"Kräherwald";1406,79575935257;787,164228421171;1161,37449183187;1915,63040702506;929,717420281782;1588,90497508014;1670,65517233338;863,993133481622;1356,351694185;1667,8720908712;865,977572439304;1350,89313420893
"Kurpark";1610,88880818944;696,254366198911;896,552142353139;1982,41524804987;833,656158837312;1187,04730306988;1795,89346838823;767,803556513815;1036,30297509796;1792,80685867857;769,501660641161;1036,37907869323
"Lauchäcker";722,551473335001;379,961952778715;530,257388057309;965,474180451043;449,799457362095;734,515687243288;847,600367886608;416,564466527836;624,835165585555;851,229478942467;417,34779512306;619,993432214624
"Lederberg";155,956244657321;76,8063282746736;101,566801077227;219,60292432451;95,1263833141694;150,91608066552;187,729930817186;86,9589275544826;124,311141628331;187,942268875821;87,2203926291961;123,475379627794
"Lehen";3178,6836190871;1621,91503318546;2355,59288779698;3924,50500585168;1886,50806797059;2966,37304101626;3561,1281896411;1758,52352527661;2647,34828508229;3562,97670329214;1758,51262404117;2646,00495089317
"Lemberg/Föhrich";1955,47792959483;926,743794793564;1258,74770059564;2511,49172359875;1110,07650655165;1680,89016418314;2242,31708423014;1023,31399552371;1458,36892024615;2246,26017581065;1025,36059889127;1450,44942909398
"Lenzhalde";670,942632519171;334,468276189078;461,183526258142;880,728462771912;400,142199413091;633,248470338581;776,335342496334;368,648561053411;542,016096450256;776,18098838545;369,424800046385;540,062710149898
"Lindenschulviertel";323,650684188161;139,264401381952;172,475163921268;397,006660835286;164,412906659026;229,272588681251;360,479463776786;151,808104823325;199,712431399889;360,954083502747;151,965847539831;199,03324006882
"Luginsland";621,293005029825;305,29228467491;411,000610318367;841,050090312412;370,280938057898;582,719207613283;732,974134150831;339,880874041441;488,144991807728;734,327249113958;341,140156501296;484,942807007192
"Möhringen-Mitte";1840,42251776187;887,330623207021;1203,71996337107;2345,52165169411;1053,34247173928;1613,99653146082;2091,98649202873;975,609964367598;1397,40354360367;2091,73109436234;978,002935267887;1393,85319782879
"Möhringen-Nord";769,303338870785;388,865843792362;544,854541127152;1037,61985704789;470,404798529835;761,169553307584;904,051391165909;434,016507341103;643,932101492987;905,316036849687;435,727531632121;640,730792379614
"Möhringen-Ost";1401,83349617469;704,359488981771;980,066261174185;1847,88374569749;843,688774514787;1344,36514062096;1624,76087941526;780,511472828477;1147,72764775626;1625,63062379628;783,207021968063;1143,27868739301
"Möhringen-Süd";763,363443137966;386,761098247729;548,223916474536;1022,28434511333;467,944260876729;759,938665950032;893,484334823351;431,614424134379;643,90124104227;894,898453584079;433,197103746428;641,805875559205
"Mönchfeld";689,47526906044;324,770564502129;423,956721916865;914,774632901072;392,33665524574;603,031602829834;806,149496415936;360,672043043039;504,178460541025;809,777913768908;361,351925603448;500,494731471497
"Mönchhalde";683,858377365703;335,128389188185;456,476126171775;899,900530909794;404,074036779694;630,924430795699;792,146983597216;371,343886722433;538,50912968035;792,470152853563;371,840885699913;536,670611054473
"Muckensturm";738,636510371653;323,780914583707;419,285836694975;962,401919455753;398,99058602031;589,586976859253;853,069392543055;364,381448536432;496,549158920513;852,611167123574;365,331259294289;495,101278382757
"Mühlhausen";839,442837397786;406,98126149004;537,977018182161;1117,71523785196;490,832660086772;761,280887994976;983,699234975623;451,776992673776;639,523772350601;988,403930130423;452,167291390511;635,137412478482
"Münster";1783,48183091024;752,168395160454;899,37689480251;2320,28529776954;922,983597754106;1312,42748868302;2042,54974638234;843,078552180903;1110,37170143675;2039,78174520094;846,184114863598;1106,75950647807
"Neckarvorstadt";1260,53590166096;509,34023922366;622,75140517486;1526,03840578615;610,924144796038;822,208391449222;1392,41097550518;560,855576093919;721,733448400898;1390,31254924342;562,045094402258;722,224581036311
"Neue Vorstadt";439,692216665549;206,26169395252;273,808665874681;543,662989139609;241,684734798615;356,938278323579;491,661199718698;224,325641678486;315,013158602816;491,472179076473;224,396719907449;314,572997112658
"Neugereut";1943,79073107115;898,297638210137;1143,03841438042;2693,62682463899;1119,3212376891;1712,38222824652;2335,82843787735;1019,79046556059;1397,38109656207;2349,12742427451;1022,04273701173;1379,32361564422
"Neuwirtshaus";179,397889901166;82,7905675060202;105,181848181814;242,383993243646;102,28509728996;151,621919724594;211,516158883573;93,1600630936478;126,323778022779;211,420716159571;93,5701003793446;125,53676556491
"Nordbahnhof";571,92669270383;259,060689775907;340,49746218395;701,744401433444;306,560025454942;442,181683813619;637,269165594229;283,287952993984;390,442881411787;636,819280483467;283,547198624591;390,693712141698
"Oberer Schlossgarten";113,71934021621;56,4718626693414;77,9227459651355;149,12528736335;67,5896715305216;106,22029852469;131,531803770245;62,3837111781554;91,0844850516;131,746299685578;62,5644111958985;90,5813235121013
"Obertürkheim";1437,43144019352;676,732595461124;869,148607464007;1927,31144616885;820,848243461613;1262,35955763502;1687,89923817261;752,141886343031;1055,95887548436;1689,59991516061;753,893425091809;1050,3484397555
"Österfeld";361,416396443792;201,475930457366;291,614871731187;499,022186589045;239,891348293078;410,548683969462;432,243116331314;222,201345287353;345,555538381332;434,660527709164;222,74598912871;343,060158290357
"Ostheim";3990,68960454539;1844,62713167861;2500,84591403632;4990,0991248991;2201,2791757038;3278,47721744734;4511,32118757875;2032,49113443299;2858,18767798825;4515,44097135663;2037,59862096652;2853,67327611141
"Pfaffenwald";1431,42233855977;622,012238662971;713,109638859184;1836,80522755577;747,447378471184;1035,49365452806;1640,78092595522;686,324200801909;861,894873242873;1644,2008928928;686,654150651133;854,750578514032
"Plieningen";1940,4157427714;954,684260788731;1262,15559238974;2587,66165281205;1146,72550682329;1802,71603912302;2261,49420563482;1057,47953887608;1515,02625548909;2264,63946008581;1060,59783947839;1507,97971081072
"Pragstraße";120,04285806156;46,6963048080421;55,18516204566;143,299826091667;56,0545619961006;72,5498216452875;131,583409883753;51,3931525775719;64,0234375386752;131,393661548191;51,5071893250051;64,1206952125238
"Rathaus";1181,95107021964;544,048251513085;720,582612425259;1478,98286566017;647,168128923691;948,140942438401;1330,89433253055;596,415501270168;831,690166199278;1334,35546001876;597,060750640148;829,069993437242
