"";"Observation.No";"Observed.y";"Predicted.y"
"1417";1383;1;1
"2830";2753;3;1
"2886";2808;2;3
"2454";2384;1;3
"2371";2305;1;3
"412";408;3;1
"3140";3059;1;3
"1282";1250;2;1
"2341";2276;3;3
"699";687;2;1
"2178";2121;2;1
"1442";1408;3;3
"757";742;3;3
"295";293;1;3
"2857";2779;2;1
"399";395;1;1
"317";315;3;3
"1577";1542;3;3
"2159";2103;2;1
"2501";2429;3;1
"1683";1644;3;1
"901";878;1;1
"298";296;3;3
"2619";2545;1;3
"1900";1851;1;3
"1816";1772;3;1
"1492";1458;1;1
"1085";1056;2;1
"1732";1691;2;1
"816";798;3;3
"1480";1446;1;3
"2424";2356;1;1
"22";22;1;1
"769";753;3;3
"2918";2840;1;1
"493";487;2;1
"122";122;1;1
"1613";1577;1;3
"2833";2756;3;3
"1661";1623;1;1
"735";721;1;1
"2926";2847;3;1
"2991";2912;1;1
"2931";2852;1;1
"3135";3054;1;1
"84";84;2;1
"1911";1862;1;1
"62";62;3;1
"704";692;2;3
"672";660;3;3
"3116";3035;2;1
"1636";1599;3;1
"1971";1920;1;1
"2712";2636;3;3
"2098";2043;1;1
"3095";3014;1;1
"754";739;2;3
"2925";2846;2;1
"1413";1379;2;1
"264";262;3;1
"1557";1522;3;1
"2533";2460;1;3
"953";930;1;3
"2276";2217;2;1
"1430";1396;1;1
"2558";2484;2;1
"678";666;3;3
"2319";2255;2;1
"1649";1611;3;1
"1645";1608;3;1
"489";484;1;1
"1410";1376;1;1
"523";515;1;1
"220";219;2;1
"913";890;2;1
"3024";2945;3;3
"802";785;3;3
"2078";2023;2;1
"837";817;2;3
"626";616;1;1
"2472";2402;2;1
"2944";2865;3;1
"332";330;1;1
"1680";1641;3;1
"2383";2317;3;3
"1267";1235;1;1
"2485";2413;1;3
"1705";1665;1;1
"2531";2458;1;1
"927";904;3;1
"619";609;1;3
"2515";2443;1;1
"681";669;3;3
"222";221;1;1
"30";30;3;3
"258";256;1;3
"531";523;3;3
"29";29;1;3
"2821";2744;2;3
"2962";2883;1;1
"1768";1726;1;1
"2532";2459;1;1
"1876";1828;3;3
"2015";1963;2;3
"1343";1310;1;1
"2086";2031;1;1
"2365";2299;3;1
"2165";2109;3;1
"2249";2190;3;3
"1175";1145;1;3
"2489";2417;1;1
"2816";2739;2;1
"727";714;3;1
"1873";1825;3;3
"2908";2830;3;1
"1846";1799;3;1
"1368";1335;3;3
"1391";1358;3;3
"426";422;2;3
"2013";1961;3;1
"440";436;3;3
"1327";1294;1;3
"361";357;1;1
"2834";2757;1;1
"877";855;2;1
"1289";1257;1;1
"2238";2179;3;3
"962";939;2;1
"421";417;3;3
"2167";2111;3;3
"2784";2708;1;1
"3056";2976;3;1
"1981";1930;1;3
"2281";2222;1;1
"2668";2594;3;1
"1725";1684;3;1
"2033";1979;2;1
"3128";3047;2;3
"948";925;3;1
"53";53;1;1
"1160";1130;1;3
"1660";1622;1;1
"2511";2439;2;1
"1694";1654;3;1
"198";197;1;1
"833";813;3;3
"2125";2070;1;1
"1257";1226;3;3
"3039";2959;1;1
"2902";2824;2;1
"1110";1080;2;1
"1691";1651;3;1
"396";392;3;3
"393";389;1;1
"2956";2877;2;3
"1255";1224;1;3
"2236";2177;3;3
"2758";2682;3;3
"2860";2782;3;3
"1561";1526;1;1
"228";227;3;1
"1223";1192;3;3
