"";"Observation.No";"Observed.y";"Predicted.y"
"484";276;3;2
"1332";812;2;2
"487";1205;1;1
"1401";660;1;2
"2777";1193;1;1
"2133";2555;2;1
"2158";2954;1;1
"1730";481;1;1
"2855";1628;2;2
"2148";2606;1;1
"92";551;2;1
"13410";32;5;3
"1489";175;1;1
"2857";1987;2;2
"1364";37;2;1
"2636";234;1;1
"2598";78;2;2
"2457";2919;5;2
"2046";2746;1;1
"1980";3363;3;2
"4110";2755;3;3
"2710";1192;1;1
"396";1947;1;2
"1194";1043;2;1
"3037";3194;1;1
"2164";2637;2;2
"2411";2414;1;1
"969";1000;1;2
"862";3138;1;1
"861";3288;2;2
"2699";2734;1;1
"1406";3314;1;2
"2854";406;3;2
"136";2167;2;1
"2751";3272;2;2
"281";2069;2;2
"1992";3040;2;3
"2505";2750;1;2
"2002";1510;2;1
"695";1594;2;2
"2638";236;2;2
"1558";3265;2;2
"2569";2561;2;1
"1738";2804;3;2
"1772";1497;2;2
"1116";2355;3;2
"545";119;1;2
"2566";1337;3;2
"1641";2634;2;2
"2667";1216;1;1
"3094";3196;2;2
"2842";2481;2;1
"1330";3330;5;2
"1138";2221;2;2
"651";336;1;2
"7410";847;4;3
"2183";259;2;2
"310";273;1;1
"2940";962;1;2
"1068";1598;2;1
"3106";2372;3;2
"2376";2586;1;1
"392";2901;3;2
"2287";2264;1;1
"428";1790;1;2
"835";2348;3;2
"2290";2119;3;2
"2374";2584;2;2
"3098";2066;2;2
"1872";2686;1;1
"141";1383;1;2
"1310";1048;2;2
"672";1428;1;2
"1662";878;3;2
"1885";1416;3;2
"636";1085;2;2
"1296";3150;2;2
"1114";2668;4;2
"2453";2916;3;2
"1755";2034;2;2
"1409";841;1;2
"1078";1966;1;2
"1699";3336;2;2
"771";1749;2;2
"674";2483;3;2
"2127";353;1;2
"3119";1535;1;1
"2208";2082;2;1
"1624";2225;2;2
"2750";1652;1;1
"19310";1730;5;3
"2258";1903;2;2
"481";2834;1;2
"1568";438;1;1
"2054";1849;2;2
"524";3049;2;2
"129";1574;3;1
"787";307;1;1
"2369";719;1;2
"2486";1189;2;2
"3056";678;1;1
"755";2259;1;2
"216";765;1;2
"1292";579;2;1
"2013";3087;3;2
"1886";2855;2;1
"1410";3068;1;2
"435";1114;2;2
"1111";2463;2;1
"2132";2554;1;1
"2229";1677;2;1
"296";140;1;1
"128";1573;1;1
"2528";2010;1;1
"2685";673;1;2
"1725";1411;1;1
"2202";2958;2;2
"1570";2493;4;3
"784";2992;3;2
"501";301;2;1
"2554";1033;1;2
"2067";790;2;2
"615";457;1;1
"1046";3324;2;2
"1494";1612;2;2
"1578";2577;2;1
"867";464;1;1
"1276";2671;2;1
"1465";1348;5;2
"3073";2811;1;2
"414";681;2;2
"2624";624;2;2
"2285";184;1;1
"1546";478;2;1
"2155";573;1;2
"1519";476;2;1
"51";2152;3;2
"1198";975;2;3
"15910";715;5;3
"2530";503;2;1
"2193";1895;2;2
"1146";2222;1;1
"4311";3391;4;3
"1944";1973;1;2
"6111";3417;5;3
"2052";1869;1;2
"1997";1834;2;2
"1661";102;2;1
"357";1312;3;2
"1049";561;1;2
"24100";3424;2;3
"75";529;1;2
"1136";2764;3;2
"147";1069;2;2
"2900";508;1;1
"1687";2769;2;2
"2689";2205;2;1
"2007";1893;2;2
"1273";1488;2;2
"1946";1975;2;2
"2734";2925;3;2
"377";1945;2;2
"1697";3307;2;3
"148";1737;1;2
"3086";2285;2;2
"1225";2296;4;1
"895";411;1;2
"1676";1054;2;2
"2839";2879;2;1
"1186";3004;2;2
"750";2532;1;1
"2240";1619;2;1
"1386";3064;4;2
"976";1662;3;1
"1918";1460;2;1
"1216";1007;2;2
"3003";831;2;2
"108";2160;2;2
"7210";714;4;3
"6411";3432;5;5
"2270";2232;1;1
"13";1880;2;2
"1385";413;2;2
"1932";492;2;1
"8810";1355;4;5
"3100";513;1;1
"951";5;2;2
"2791";405;2;2
"2188";264;2;2
"575";2345;2;2
"12310";3243;4;5
"1019";1405;2;1
"1841";3168;2;2
"2217";820;3;2
"2402";2051;3;1
"2468";2132;2;2
"2181";2228;1;1
"15410";598;5;3
"2551";3011;2;2
"271";218;3;1
"2344";1905;2;2
"1485";1300;3;2
"2942";2964;2;1
"482";274;1;1
"1437";3039;4;1
"2477";2134;2;1
"1206";282;2;1
"183";64;2;2
"172";3223;1;1
"629";1658;1;2
"459";2433;2;2
"2909";332;1;1
"100";555;1;2
"935";2293;1;1
"1534";2197;4;1
"17810";1311;5;3
"2370";720;1;1
"1962";346;1;1
"2108";945;2;1
"2726";1627;3;1
"4211";3386;4;5
"1169";2713;2;1
"2631";355;2;1
"731";2253;2;2
"1952";884;2;2
"2062";1148;3;2
"2912";1629;2;2
"2271";1155;2;2
"2001";1509;2;1
"1550";3235;3;2
"2537";1032;1;2
"653";305;1;1
"21110";2424;5;2
"783";2386;1;1
"708";339;1;1
"1714";1491;2;1
"2550";3010;3;2
"317";1778;3;2
"408";1959;2;2
"3411";3410;3;3
"2421";1985;3;2
"412";2378;2;1
"1965";2952;1;2
"253";729;3;2
"780";1798;2;2
"165";61;2;2
"2792";595;2;2
"2401";2050;2;2
"635";2793;2;2
"5310";55;4;2
"1268";1015;3;2
"3012";1654;2;1
"1651";2950;1;2
"122";2164;1;1
"1416";225;1;1
"1728";1614;1;2
"533";156;1;1
"5101";3393;1;3
"4910";3318;3;3
"1875";2689;1;1
"2242";2143;5;2
"2596";2651;3;2
"433";151;2;1
"2299";2203;2;2
"704";1401;2;1
"943";163;1;1
"3038";1774;4;2
"1200";1207;1;1
"2179";911;1;1
"1304";1248;2;2
"1099";3024;1;1
"2160";1675;1;1
"95";1371;3;2
"2101";1302;2;1
"1528";2223;1;1
"198";1387;2;1
"1736";74;1;2
"2315";2502;2;2
"2276";952;2;1
"3032";192;2;1
"525";3050;1;2
"1683";10;3;2
"2784";3106;2;2
"2512";1105;1;1
"2627";106;1;1
"2473";2204;1;1
"77";2157;1;2
"562";1079;1;2
"2587";2419;2;1
"1415";1812;1;2
"1163";281;1;1
"1306";658;2;2
"1963";347;1;1
"2553";1108;1;2
"2825";2324;3;1
"2692";2474;1;1
"2010";2635;1;2
"928";2999;2;2
"2082";2695;2;2
"513";1116;1;2
"2691";1759;5;1
"1502";1181;2;1
"8";1222;3;2
"2254";3183;2;2
"1263";3264;3;2
"3125";1425;3;2
"3013";702;2;2
"728";2250;5;2
"775";2570;2;1
"596";921;2;2
"410";2376;4;1
"3410";1776;3;3
"6510";418;4;3
"705";2001;1;1
"1923";2551;1;1
"2061";1147;2;2
"434";152;2;1
"1289";1210;2;1
"2583";2318;1;2
"2860";1990;1;2
"30";522;2;2
"20110";1935;5;5
"2713";2781;1;2
"20710";2206;5;3
"2677";2727;2;1
"1811";1889;2;2
"2549";2417;1;1
"1732";483;1;1
"806";1801;2;1
"1052";1668;1;2
"20510";2141;5;3
"21";520;2;2
"789";2968;2;2
"2237";590;2;2
"1830";370;2;2
"1213";1004;2;2
"1069";1599;1;1
"2975";754;2;2
"892";2092;2;2
"1786";327;2;2
"777";1795;1;2
"662";427;1;1
"1350";173;1;1
"860";1172;1;1
"264";1696;1;1
"2335";2268;2;3
"1264";688;2;2
"2500";1440;5;2
"2719";1059;2;2
"7101";3403;1;3
"798";874;2;2
"1787";979;2;2
"1899";2912;3;2
"230";775;2;1
"224";833;2;1
"1272";1487;2;2
"124";1733;1;1
"24310";3312;5;5
"1821";488;3;2
"2465";2130;3;2
"1615";1410;3;1
"2744";3105;1;2
"959";610;4;2
"1981";137;2;1
"518";1121;1;2
"1996";1833;2;2
"560";1077;4;2
"6011";3412;5;3
"914";1430;3;2
"2348";2470;1;1
"509";1961;1;2
"2403";2052;2;2
"2844";1353;3;1
"3210";1729;3;3
"1609";1183;1;1
"2117";3317;2;3
"9";2818;1;2
"2534";1106;2;2
"3091";2516;2;2
"1497";1269;1;1
"2120";586;3;2
"8100";2759;1;3
"561";1078;2;1
"291";1288;1;1
"2666";1215;1;2
"1065";2440;1;2
"2112";948;2;2
"2249";2557;2;1
"3072";1873;3;2
"1384";779;1;1
"1250";2542;1;1
"1377";50;1;1
"6210";363;4;2
"195";1932;3;2
"2540";1856;4;2
"1285";1431;2;2
"663";428;1;2
"332";989;1;2
"2260";287;2;2
"380";296;1;2
"2362";1872;2;2
"1505";662;2;2
"3087";2286;1;2
"2774";1857;2;2
"2740";648;2;2
"2167";2915;5;2
"174";1930;3;2
"1057";3325;1;2
"797";873;1;2
"2199";1901;2;2
"2620";2505;2;2
"493";970;2;2
"187";68;3;2
"1501";1180;3;2
"1746";2307;1;2
"2761";594;1;2
"2040";3099;3;2
"1647";1018;2;2
"4610";3212;3;2
"2514";1331;3;1
"1919";1461;2;2
"9810";1716;4;3
"411";2377;1;2
"379";295;1;1
"1352";1453;1;2
"1012";2941;2;2
"458";737;3;2
"1533";2196;1;2
"3031";191;1;2
"268";452;1;1
"2382";931;2;2
"152";58;3;3
"1702";2605;1;1
"2656";1109;2;2
"1982";1976;2;2
"284";2072;1;3
"2995";3118;2;2
"515";1118;2;2
"2039";3098;2;2
"333";990;2;2
"2701";1058;1;1
"2143";1649;2;1
"1427";3333;1;2
"1051";2574;1;1
"639";2795;2;2
"1670";85;1;2
"1478";1670;1;1
"109";1168;3;2
"2029";1846;3;2
"1828";368;1;2
"1357";1810;2;1
"17610";1263;5;3
"12101";3428;1;5
"647";2740;2;1
"8310";1220;4;3
"285";2073;2;2
"2614";1624;1;1
"474";2977;3;1
"1176";929;2;2
"950";2326;1;2
"2818";2508;2;2
"116";3215;1;1
"1943";1972;1;2
"1986";1980;1;2
"1440";2844;2;2
"1414";2329;1;2
"2478";2961;2;2
"2177";2469;2;1
"1363";36;1;1
"2078";2114;2;1
"1887";2856;2;2
"2897";1037;2;2
"1165";1324;2;2
"1673";321;1;1
"762";600;3;2
"2024";1841;3;2
"1631";1273;1;1
"1569";2492;1;2
"968";999;3;2
"14810";393;5;3
"997";244;2;1
"24010";3274;5;3
"341";1203;2;1
"87";549;1;1
"830";3022;1;1
"19810";1879;5;3
"413";2379;1;1
"1752";786;2;2
"227";807;2;2
"2479";1471;2;1
"2432";1188;2;1
"2139";1514;1;1
"19010";1636;5;3
"907";2351;2;2
"2609";2563;1;1
"163";17;3;2
"2354";1521;2;1
"11610";2965;4;3
"1028";2623;1;2
"1338";2359;3;2
"288";2076;1;2
"2688";2240;1;2
"6";1075;1;1
"752";1659;2;2
"2383";932;3;5
"2068";791;1;2
"260";449;1;1
"344";1780;2;2
"419";1224;1;3
"2189";265;2;1
"2543";2315;2;2
"2191";3007;1;1
"569";1315;3;2
"1879";2495;3;2
"1750";693;2;2
"523";3231;3;2
"22510";2817;5;3
"2200";1902;1;2
"290";2078;2;2
"2459";3269;3;2
"1033";1409;2;2
"3090";2515;2;2
"2504";2749;1;2
"1958";890;3;2
"263";2525;1;2
"542";116;2;1
"1668";2850;1;1
"101";531;1;2
"913";1429;2;2
"1404";1456;1;2
"2126";352;2;1
"84";1368;3;2
"5811";3402;5;3
"3122";1282;1;1
"566";1343;3;2
"2069";792;2;2
"1822";2951;1;1
"899";1486;2;1
"3076";3241;2;2
"1537";2442;2;2
"1771";1496;2;1
"16100";2760;2;3
"2972";751;5;2
"464";1593;1;1
"2538";288;2;2
"2045";1439;2;2
"1446";978;2;2
"1608";1182;2;2
"1626";2107;2;2
"2245";1983;2;2
"2492";698;1;2
"2264";2972;2;2
"1960";344;1;1
"2230";2640;2;1
"852";2289;1;2
"2323";444;2;1
"590";222;1;1
"11210";2756;4;3
"3121";1424;1;1
"2175";2467;1;1
"2802";185;1;1
"2169";1151;3;2
"843";603;2;2
"2808";2868;1;1
"2426";2559;2;1
"2115";2447;2;2
"900";1090;2;1
"751";2218;1;1
"1500";1179;1;2
"825";134;2;2
"22210";2762;5;3
"2746";746;2;2
"872";705;1;2
"2058";1853;2;1
"632";2144;1;5
"2185";261;2;2
"14101";3374;2;3
"2944";1281;1;2
"591";223;1;1
"2597";2652;1;1
"1809";2402;2;2
"1547";1137;2;2
"222";771;2;1
"745";160;1;1
"146";3221;2;1
"1792";3026;1;1
"571";1125;4;2
"1360";33;1;1
"1162";280;1;1
"118";2162;2;2
"1860";2200;2;1
"2092";329;2;1
"2279";955;2;2
"2971";750;4;2
"2289";2583;1;1
"884";684;3;1
"2635";233;2;1
"2104";3268;2;2
"535";158;1;1
"2754";825;4;2
"371";2830;1;1
"498";298;2;1
"2850";1531;1;2
"962";2535;1;1
"2992";1112;3;2
"803";1318;2;2
"1852";1827;2;2
"588";455;1;1
"770";1748;1;1
"2755";2060;2;3
"1014";1003;1;2
"2979";758;4;2
"1874";2688;2;2
"3067";1913;4;2
"18710";1585;5;3
"1888";2857;2;1
"894";410;1;2
"4810";3300;3;3
"638";2794;4;2
"483";275;2;2
"1777";1502;2;1
"3115";1219;1;1
"511";1963;1;2
"1630";2300;2;2
"1003";2519;4;2
"1677";615;2;2
"20100";3200;2;3
"2765";2371;1;2
"2429";3239;3;2
"1139";2099;3;2
"1452";3071;2;2
"15610";654;5;3
"478";2981;2;1
"948";2190;1;2
"1322";1133;2;2
"2165";2638;2;2
"162";1740;2;2
"637";1086;1;2
"1565";3078;2;2
"38";1161;2;2
"1845";1820;3;2
"1081";3143;1;2
"2358";2044;3;2
"2076";2036;1;2
"283";2071;2;2
"1029";3055;4;2
"541";115;2;1
"193";2177;2;1
"11010";2568;4;2
"1370";43;1;1
"278";2089;4;2
"1916";2201;1;1
"1159";1866;3;2
"2109";946;2;2
"2207";2081;2;2
"117";3216;2;1
"613";304;2;1
"240";1719;2;2
"362";1289;1;1
"1473";1968;1;2
"1854";3172;2;2
"793";1295;1;2
"519";1122;2;2
"800";876;2;2
"1164";3038;1;2
"228";774;1;2
"2416";2365;1;2
"314";986;2;2
"418";1746;1;2
"2736";3271;2;2
"3118";1241;4;1
"477";2980;2;1
"1247";2768;3;2
"496";3261;1;2
"805";460;1;1
"1754";788;2;2
"2547";2415;2;2
"2345";1906;2;2
"1004";558;1;2
"3026";1533;1;1
"189";1931;1;2
"1803";2397;1;2
"12010";3201;4;3
"2582";700;1;2
"359";1939;2;2
"2581";699;2;2
"2172";2009;1;1
"3096";2737;2;2
"2957";1196;1;2
"1027";2622;2;2
"215";764;1;2
"31";523;1;2
"1091";3146;1;1
"213";2820;3;2
"2170";1152;1;2
"3016";446;2;1
"2236";589;1;2
"623";3051;4;2
"2368";3008;2;2
"2887";2084;1;2
"1157";927;4;2
"644";386;3;2
"2025";1842;2;2
"2806";189;2;2
"3002";830;1;2
"3104";2429;3;2
"1381";2102;1;2
"2107";71;1;5
"688";3134;2;2
