"Observation.No";"Observed.y";"Predicted.Prob";"Predicted.y"
2258;0;0,498882813827653;0
1073;1;0,290794499590905;0
793;1;0,448842606237878;0
1328;1;0,49484809181647;0
1454;0;0,319318561761663;0
1556;1;0,464521688312019;0
1889;0;0,581770812089294;1
1375;1;0,612661719884603;1
513;0;0,367418928321165;0
310;1;0,531149846762604;1
1087;0;0,501883394269581;1
1940;1;0,367085321513154;0
1699;1;0,558518649269156;1
778;1;0,553966463639566;1
1822;1;0,305655455501404;0
681;0;0,561253817801864;1
2314;1;0,552037481775969;1
108;0;0,464976435157748;0
1453;0;0,454437337240651;0
1951;0;0,570496719567859;1
713;1;0,358880631931258;0
2087;1;0,355816706137926;0
2157;0;0,308659436959669;0
948;0;0,653747895971137;1
625;0;0,505396380255156;1
1733;0;0,281741850210128;0
641;1;0,498882813827653;0
699;0;0,127129814287146;0
1442;0;0,302784643221032;0
1605;0;0,507618665177209;1
951;1;0,347839757167171;0
44;1;0,348419272553247;0
642;1;0,28728435042028;0
2027;0;0,336220611394964;0
1565;0;0,531149846762604;1
558;0;0,643089880612591;1
588;1;0,685457838585946;1
163;1;0,446898207795264;0
2275;1;0,441665348561039;0
520;0;0,454437337240651;0
2039;1;0,684404781619107;1
48;0;0,238121988451719;0
327;0;0,31224049396112;0
193;0;0,304933445654791;0
453;0;0,501883394269581;1
2353;1;0,489144280963764;0
2175;0;0,520819973922093;1
866;1;0,700654955110375;1
1102;1;0,522183799236127;1
650;1;0,417573624833094;0
791;0;0,584704487527066;1
617;1;0,58870162795558;1
354;1;0,528587729899677;1
1789;1;0,336741671877507;0
2290;1;0,42808076987715;0
2336;0;0,46411005164794;0
1262;0;0,465076538776238;0
1530;0;0,555400984065461;1
1731;0;0,336741671877507;0
828;0;0,34644626101607;0
1242;0;0,347213284122068;0
384;0;0,645512266975027;1
932;0;0,492076530706406;0
2170;0;0,4600249768329;0
167;1;0,520046055657084;1
300;0;0,466742081851526;0
1441;1;0,446465152150604;0
532;1;0,5732115059556;1
5;0;0,30330101056156;0
589;1;0,446465152150604;0
1136;1;0,355052856797874;0
889;0;0,345558936332149;0
2137;0;0,376957923482912;0
1069;0;0,30696194165562;0
2142;1;0,503524530600119;1
1235;0;0,419424828963009;0
1210;0;0,283991109825824;0
1989;0;0,329565468520642;0
2286;0;0,216098116806864;0
134;0;0,447879697071227;0
1113;0;0,349197481489385;0
937;1;0,553966463639566;1
1589;0;0,37252703577655;0
1688;1;0,527029216077758;1
32;0;0,525330948740578;1
1166;1;0,505262163486443;1
565;0;0,319318561761663;0
1189;0;0,530319466782138;1
154;1;0,364387371870195;0
2138;1;0,462628082269442;0
583;1;0,472339956545391;0
1234;1;0,595962914586171;1
2211;1;0,44268987737045;0
987;1;0,689260662254834;1
623;0;0,505396380255156;1
155;1;0,624841272799804;1
1582;1;0,37252703577655;0
970;0;0,364217131732528;0
1941;1;0,69790753754881;1
217;0;0,651582318514769;1
39;1;0,441665348561039;0
690;0;0,310899177483958;0
2130;1;0,732375872768005;1
1388;1;0,445259510797334;0
550;0;0,450623175308483;0
1249;0;0,374030862521779;0
1223;1;0,212413420028583;0
70;0;0,54956794356954;1
2292;0;0,216098116806864;0
658;0;0,510573214914577;1
1583;1;0,710505988198332;1
605;1;0,400305660700013;0
395;1;0,616321612005716;1
382;0;0,513395781441253;1
1193;0;0,465912332812747;0
1926;1;0,446276308974867;0
1771;1;0,696281460542912;1
2299;0;0,480848035546938;0
1476;0;0,627563642687546;1
1485;0;0,627563642687546;1
89;0;0,390020328300414;0
2259;1;0,309085119509568;0
1599;0;0,640204430412516;1
1825;0;0,579572074604823;1
2313;0;0,342058881766404;0
1462;0;0,297106381577713;0
564;0;0,319318561761663;0
433;0;0,30330101056156;0
2294;1;0,178327636840205;0
