"";"Observation.No";"Observed.y";"Predicted.y"
"1246";1971;1;1
"1784";817;0;1
"139";1119;0;1
"2986";2094;0;1
"2402";1455;1;1
"222";564;0;1
"2985";2093;1;1
"2522";1460;1;1
"65";838;0;1
"264";1196;0;1
"1279";616;1;1
"1482";540;0;1
"1889";2367;0;1
"625";1806;0;1
"1539";223;0;1
"546";74;0;1
"1007";214;1;1
"46";390;0;1
"2410";2415;0;1
"717";2351;0;1
"1854";2259;0;1
"397";1374;1;1
"2458";295;0;1
"2456";2084;0;1
"1554";2247;1;1
"2969";546;0;1
"1989";2337;0;1
"2634";1897;0;1
"525";2170;1;1
"1419";1491;1;1
"73";1531;0;1
"1605";1435;1;1
"2584";1654;1;1
"2484";1246;1;1
"1031";2176;1;1
"807";1271;0;1
"342";860;0;1
"476";2127;1;1
"1572";484;1;1
"551";2130;1;1
"2332";741;0;1
"412";1698;0;1
"2543";1650;0;1
"2309";662;0;1
"1579";1841;1;1
"1022";1002;1;1
"141";986;1;1
"2633";1850;1;1
"1699";2364;0;1
"2030";1306;0;1
"1510";514;0;1
"2180";2041;0;1
"2842";1772;1;1
"2015";2196;0;1
"1965";2111;1;1
"1242";2280;0;1
"2100";420;0;1
"63";11;1;1
"1124";2144;0;1
"322";273;0;1
"1397";1914;0;1
"687";2229;0;1
"209";586;0;1
"2718";2375;1;1
"2839";2058;0;1
"618";1548;1;1
"258";774;1;1
"391";2069;1;1
"1401";480;1;1
"1112";2414;1;1
"591";149;0;1
"392";2070;0;1
"1895";1783;0;1
"1815";2036;0;1
"946";784;0;1
"785";2138;1;1
"1641";1880;0;1
"2212";597;1;1
"1172";466;0;1
"2844";965;1;1
"259";1939;1;1
"1868";820;0;1
"1365";22;0;1
"1567";2189;0;1
"1381";1489;1;1
"1359";2361;1;1
"1618";1916;0;1
"1338";1685;1;1
"634";459;0;1
"2826";1189;0;1
"3119";1090;1;1
"1259";411;1;1
"1407";2345;0;1
"2389";678;0;1
"3110";2379;1;1
"1522";1943;1;1
"3117";475;1;1
"370";2014;0;1
"2928";257;0;1
"1986";1400;1;1
"1129";1708;1;1
"1528";1579;0;1
"2904";1467;0;1
"3101";376;1;1
"194";2405;0;1
"2567";1934;0;1
"2677";1949;1;1
"583";780;0;1
"598";2357;1;1
"2845";966;1;1
"2549";1730;0;1
"666";307;0;1
"1798";1648;1;1
"1751";1495;0;1
"658";2349;1;1
"2382";671;0;1
"727";77;1;1
"867";335;1;1
"1071";1875;0;1
"564";1987;0;1
"1831";264;0;1
"2684";2273;1;1
"2138";2338;1;1
"2641";1862;0;1
"2843";369;0;1
"1488";114;1;1
"1474";1391;0;1
"1714";1060;0;1
"512";799;0;1
"1123";222;1;1
"495";701;0;1
"3006";1936;1;1
"2852";831;0;1
"1333";593;1;1
"2874";1408;1;1
"2998";2220;0;1
"1218";2178;0;1
"1252";2105;1;1
"16";378;0;1
"111";10;0;1
"2277";690;0;1
"1324";341;0;1
"1024";624;1;1
"2550";2150;0;1
"2963";1672;0;1
"937";1681;0;1
"660";1051;1;1
"2";768;0;1
"1113";1905;1;1
"2183";177;0;1
"475";2126;1;1
"470";12;0;1
